# delta neff CL
0.321 -2.33333 0.54876
0.321 -2.33067 0.222683
0.321 -2.328 0.103524
0.321 -2.32533 0.0180474
0.321 -2.32267 0.0141383
0.321 -2.32 0.00345339
0.321 -2.31733 0.000442774
0.321 -2.31467 6.86424e-05
0.321 -2.312 1.02222e-05
0.321 -2.30933 1.4804e-06
0.321 -2.30667 9.28435e-08
0.321 -2.304 8.39567e-09
0.321 -2.30133 5.99515e-10
0.327 -2.37867 0
0.327 -2.376 0
0.327 -2.37333 0
0.327 -2.37067 7.83524e-18
0.327 -2.368 1.21619e-15
0.327 -2.36533 3.39189e-11
0.327 -2.36267 3.50439e-09
0.327 -2.36 7.22643e-07
0.327 -2.35733 1.67101e-05
0.327 -2.35467 0.000253905
0.327 -2.352 0.00571992
0.327 -2.34933 0.0369406
0.327 -2.34667 0.00887537
0.327 -2.344 0.359538
0.327 -2.34133 0.356643
0.327 -2.33867 0.65129
0.327 -2.336 0.692582
0.327 -2.33333 0.522761
0.327 -2.33067 0.278182
0.327 -2.328 0.170694
0.327 -2.32533 0.0650607
0.327 -2.32267 0.0201582
0.327 -2.32 0.00490917
0.327 -2.31733 0.00067328
0.327 -2.31467 0.000104623
0.327 -2.312 1.51577e-05
0.327 -2.30933 2.54953e-06
0.327 -2.30667 1.70343e-07
0.327 -2.304 6.34889e-08
0.327 -2.30133 1.12554e-09
0.333 -2.37867 0
0.333 -2.376 0
0.333 -2.37333 4.92854e-24
0.333 -2.37067 1.03107e-20
0.333 -2.368 6.72678e-17
0.333 -2.36533 4.07317e-12
0.333 -2.36267 1.79616e-10
0.333 -2.36 2.51104e-07
0.333 -2.35733 5.82181e-06
0.333 -2.35467 8.9274e-05
0.333 -2.352 0.00253402
0.333 -2.34933 0.00605422
0.333 -2.34667 0.0715882
0.333 -2.344 0.0335109
0.333 -2.34133 0.273088
0.333 -2.33867 0.448077
0.333 -2.336 0.516784
0.333 -2.33333 0.425968
0.333 -2.33067 0.280808
0.333 -2.328 0.153716
0.333 -2.32533 0.0820132
0.333 -2.32267 0.0267272
0.333 -2.32 0.00648995
0.333 -2.31733 0.000956481
0.333 -2.31467 0.000157639
0.333 -2.312 2.86473e-05
0.333 -2.30933 4.16685e-06
0.333 -2.30667 2.95027e-07
0.333 -2.304 2.71796e-08
0.333 -2.30133 1.99056e-09
0.339 -2.37867 0
0.339 -2.376 0
0.339 -2.37333 1.72655e-25
0.339 -2.37067 2.10881e-22
0.339 -2.368 2.52182e-18
0.339 -2.36533 3.49421e-13
0.339 -2.36267 1.56617e-11
0.339 -2.36 6.77935e-08
0.339 -2.35733 1.58425e-06
0.339 -2.35467 2.46348e-05
0.339 -2.352 0.000286635
0.339 -2.34933 0.00605906
0.339 -2.34667 0.00254978
0.339 -2.344 0.0269311
0.339 -2.34133 0.121498
0.339 -2.33867 0.255861
0.339 -2.336 0.345938
0.339 -2.33333 0.292113
0.339 -2.33067 0.250772
0.339 -2.328 0.17094
0.339 -2.32533 0.0918292
0.339 -2.32267 0.0326515
0.339 -2.32 0.00792162
0.339 -2.31733 0.0012634
0.339 -2.31467 0.000225351
0.339 -2.312 4.44698e-05
0.339 -2.30933 6.47799e-06
0.339 -2.30667 2.69648e-07
0.339 -2.304 4.49912e-08
0.339 -2.30133 3.33064e-09
0.345 -2.37867 0
0.345 -2.376 0
0.345 -2.37333 0
0.345 -2.37067 0
0.345 -2.368 6.27267e-20
0.345 -2.36533 2.07454e-14
0.345 -2.36267 1.78317e-14
0.345 -2.36 1.38802e-08
0.345 -2.35733 3.28772e-07
0.345 -2.35467 5.2112e-06
0.345 -2.352 9.03427e-05
0.345 -2.34933 0.000781848
0.345 -2.34667 0.00174675
0.345 -2.344 0.0238738
0.345 -2.34133 0.0516888
0.345 -2.33867 0.118826
0.345 -2.336 0.237657
0.345 -2.33333 0.216864
0.345 -2.33067 0.188467
0.345 -2.328 0.142648
0.345 -2.32533 0.0903246
0.345 -2.32267 0.0353285
0.345 -2.32 0.00884556
0.345 -2.31733 0.00154073
0.345 -2.31467 0.000309764
0.345 -2.312 6.57041e-05
0.345 -2.30933 9.58271e-06
0.345 -2.30667 7.56472e-07
0.345 -2.304 7.07191e-08
0.345 -2.30133 5.28549e-09
0.351 -2.37867 0
0.351 -2.376 0
0.351 -2.37333 0
0.351 -2.37067 0
0.351 -2.368 0
